product_name,energy-kcal_100g,proteins_100g,carbohydrates_100g,sugars_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,trans-fat_100g,fiber_100g,keto_score
Hazelnuts,653.57100000000003,15.356999999999999,8.2140000000000004,5,64.286000000000001,4.6429999999999998,46.429000000000002,8.5709999999999997,,9.6430000000000007,3
Sesame Seeds,571.42899999999997,17.143000000000001,11.786,,50,6.7859999999999996,18.213999999999999,21.428999999999998,,14.286,3
Peanuts,590,24,13,5,50,8,26,10,0,8,3
Sunflower Seeds,546.09400000000005,19.530999999999999,6.25,2.734,50,5.234,9.375,32.813000000000002,,9.375,3
Cashews,562.5,14.98,28.670999999999999,4.96,45.634999999999998,8.7300000000000004,26.885000000000002,7.54,,3.1749999999999998,2
Pumpkin Seeds,445.31299999999999,18.75,34.375,,18.75,3.5939999999999999,6.0940000000000003,8.9060000000000006,,18.75,2
Chestnuts,245.238,3.1749999999999998,47.222000000000001,10.615,2.1829999999999998,0.39700000000000002,0.79400000000000004,0.89300000000000002,,5.1589999999999998,2
Ginkgo Nuts,347.85700000000003,10.356999999999999,72.5,,2.1429999999999998,0.35699999999999998,0.71399999999999997,0.71399999999999997,,,2
Lotus Seeds,331.25,15.313000000000001,64.375,,1.875,0.313,0.313,1.25,,,2
Pistachios,571.42899999999997,21.379000000000001,17.183,7.1929999999999996,45.753999999999998,5.694,24.276,12.887,0,9.9900000000000002,2
Black Soybeans,100,8.4619999999999997,3.8460000000000001,1.538,3.4620000000000002,0.38500000000000001,,,,4.6150000000000002,3
Edamame,120.51300000000001,11.813000000000001,3.7549999999999999,2.198,5.1280000000000001,0.64100000000000001,1.282,2.198,0,5.1280000000000001,3
Mung Bean Sprouts,20.968,2.016,3.387,2.823,0.081000000000000003,0,0,0,0,0.80600000000000005,3
Lupin Beans,119.277,15.663,6.867,,2.8919999999999999,0.36099999999999999,1.2050000000000001,0.72299999999999998,0,2.7709999999999999,3
Quinoa,119.355,4.4089999999999998,18.710000000000001,0.85999999999999999,1.9350000000000001,0.215,0.53800000000000003,1.075,,2.7959999999999998,2
Millet,118.96599999999999,3.5059999999999998,22.241,0.115,0.97699999999999998,0.17199999999999999,0.17199999999999999,0.51700000000000002,,1.3220000000000001,2
Buckwheat,92.262,3.3929999999999998,16.963999999999999,0.89300000000000002,0.59499999999999997,0.11899999999999999,0.17899999999999999,0.17899999999999999,,2.6789999999999998,2
Bulgur,82.966999999999999,3.077,14.176,0.11,0.22,0.055,0.055,0.11,,4.5049999999999999,2
Sorghum,70.082999999999998,2.2709999999999999,13.823,0.52600000000000002,0.748,0.13800000000000001,0.249,0.33200000000000002,0,1.413,2
Lentils,116.16200000000001,9.0909999999999993,12.121,1.8180000000000001,0.40400000000000003,0.050999999999999997,0.050999999999999997,0.152,0,8.0809999999999995,2
Rye,337.87,10.058999999999999,60.354999999999997,1.006,1.657,0.17799999999999999,0.17799999999999999,0.76900000000000002,0,15.385,1
Lima Beans,114.89400000000001,7.9790000000000001,13.83,2.9260000000000002,0.372,0.106,0.052999999999999999,0.16,0,6.915,1
Mung Beans,104.95,6.9299999999999997,11.881,1.98,0.39600000000000002,0.099000000000000005,0.050000000000000003,0.14899999999999999,0,7.4260000000000002,1
Black Beans,131.977,8.7210000000000001,15.116,0.34899999999999998,0.52300000000000002,0.11600000000000001,0.058000000000000003,0.23300000000000001,0,8.7210000000000001,1
Navy Beans,140.11000000000001,8.2420000000000009,15.385,0.38500000000000001,0.60399999999999998,0.11,0.16500000000000001,0.495,0,10.44,1
Kidney Beans,127.119,8.4749999999999996,16.384,0.33900000000000002,0.50800000000000001,0.056000000000000001,0.056000000000000001,0.28199999999999997,0,6.2149999999999999,1
Chickpeas,164.024,9.1460000000000008,20.122,4.8170000000000002,2.5609999999999999,0.24399999999999999,0.60999999999999999,1.159,0,7.3170000000000002,1
Pinto Beans,143.27500000000001,8.7720000000000002,17.544,0.35099999999999998,0.64300000000000002,0.11700000000000001,0.11700000000000001,0.23400000000000001,0,8.7720000000000002,1
Whole Wheat Flour,340,13.333,60.832999999999998,0.41699999999999998,2.5,0.41699999999999998,0.25,1.167,,10.833,1
Brown Rice,111.224,2.347,21.632999999999999,,0.81599999999999995,0.153,0.30599999999999999,0.30599999999999999,,1.837,1
White Rice,129.74700000000001,2.722,28.100999999999999,0.063,0.253,0.063,0.063,0.063,,0.38,1
Rolled Oats,373.17099999999999,12.927,55.853999999999999,0.97599999999999998,6.3410000000000002,1.0980000000000001,1.9510000000000001,2.2559999999999998,,10,1
Barley Flour,345.26999999999998,10.811,64.188999999999993,0.81100000000000005,1.6220000000000001,0.33800000000000002,0.20300000000000001,0.74299999999999999,,10.135,1
Spelt Flour,338,14.667,59.332999999999998,6.6669999999999998,2.3999999999999999,0.40000000000000002,0.46700000000000003,1.2669999999999999,,10.667,1
